Compound ChEMBL ID,Bioactivity Type,Bioactivity Value (nM),Molecular Formula,SMILES
CHEMBL2018581,EC50,1500.0,C23H24N4O3,COc1ccc(C(=O)NCCNc2nc3cc(C)cc(C)c3cc2C#N)cc1OC
CHEMBL2018581,EC50,1513.56,C23H24N4O3,COc1ccc(C(=O)NCCNc2nc3cc(C)cc(C)c3cc2C#N)cc1OC
CHEMBL4789667,EC50,7310.0,C28H20N2O6S,O=C(O)c1ccc(C(=O)c2sc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)nc2-c2ccccc2)cc1
CHEMBL4581904,EC50,346.0,C29H35F3N2O6,COc1ncc(C(F)(F)F)cc1CO[C@H]1[C@H](C(C)(C)C)[C@@H](C(=O)O)N(C(=O)[C@H]2CCCCO2)[C@H]1c1ccccc1
CHEMBL4521957,EC50,2660.0,C29H27Cl2NO4,CC(C)(C)[C@H]1[C@H](C(=O)c2cc(Cl)ccc2Cl)[C@H](c2ccccc2)N(C(=O)c2ccccc2)[C@@H]1C(=O)O
CHEMBL4521957,EC50,1970.0,C29H27Cl2NO4,CC(C)(C)[C@H]1[C@H](C(=O)c2cc(Cl)ccc2Cl)[C@H](c2ccccc2)N(C(=O)c2ccccc2)[C@@H]1C(=O)O
CHEMBL4521957,EC50,2610.0,C29H27Cl2NO4,CC(C)(C)[C@H]1[C@H](C(=O)c2cc(Cl)ccc2Cl)[C@H](c2ccccc2)N(C(=O)c2ccccc2)[C@@H]1C(=O)O
CHEMBL4521957,EC50,1940.0,C29H27Cl2NO4,CC(C)(C)[C@H]1[C@H](C(=O)c2cc(Cl)ccc2Cl)[C@H](c2ccccc2)N(C(=O)c2ccccc2)[C@@H]1C(=O)O
CHEMBL4741540,EC50,480.0,C17H15F3N4O,Cc1cccc2[nH]c3c(c12)CN(C(=O)c1cc(C(F)(F)F)[nH]n1)CC3
CHEMBL4759920,EC50,200.0,C17H15F3N4O,Cc1ccc2c3c([nH]c2c1)CCN(C(=O)c1cc(C(F)(F)F)[nH]n1)C3
CHEMBL4776336,EC50,940.0,C17H14F4N4O,Cc1ccc(F)c2c3c([nH]c12)CCN(C(=O)c1cc(C(F)(F)F)[nH]n1)C3
CHEMBL4759695,EC50,2300.0,C18H16F4N4O,Cc1ccc(F)c2[nH]c3c(c12)CCN(C(=O)c1cc(C(F)(F)F)[nH]n1)CC3
CHEMBL4755366,EC50,230.0,C16H13F3N4O,O=C(c1cc(C(F)(F)F)[nH]n1)N1CCc2[nH]c3ccccc3c2C1
CHEMBL4749614,EC50,1300.0,C19H16F4N4O,Cc1ccc(F)c2[nH]c3c(c12)C1CCC(C3)N1C(=O)c1cc(C(F)(F)F)[nH]n1
CHEMBL3356631,EC50,800.0,C18H16N2O2,CCc1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1
CHEMBL2010601,EC50,22.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,3.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,236.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,3.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,236.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,1300.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,126.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,11.7,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,49.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,70.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,131.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,68.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,34.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2018578,EC50,7300.0,C20H19N5O,Cc1cc(C)c2cc(C#N)c(NCCNC(=O)c3ccncc3)nc2c1
CHEMBL2018578,EC50,7244.36,C20H19N5O,Cc1cc(C)c2cc(C#N)c(NCCNC(=O)c3ccncc3)nc2c1
CHEMBL2018582,EC50,6700.0,C19H18N6O,Cc1cc(C)c2cc(C#N)c(NCCNC(=O)c3cnccn3)nc2c1
CHEMBL2018582,EC50,6760.83,C19H18N6O,Cc1cc(C)c2cc(C#N)c(NCCNC(=O)c3cnccn3)nc2c1
CHEMBL3746059,EC50,1400.0,C25H28N6O,NC(=O)C1CCN(c2nc(-c3ccccn3)nc3c2CN(Cc2ccccc2)CC3)CC1
CHEMBL3746059,EC50,1400.0,C25H28N6O,NC(=O)C1CCN(c2nc(-c3ccccn3)nc3c2CN(Cc2ccccc2)CC3)CC1
CHEMBL3746059,EC50,1412.54,C25H28N6O,NC(=O)C1CCN(c2nc(-c3ccccn3)nc3c2CN(Cc2ccccc2)CC3)CC1
CHEMBL3357143,EC50,22.0,C21H19F3N2O3,CC(C)(C)c1cc(C(F)(F)F)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL3357143,EC50,3.0,C21H19F3N2O3,CC(C)(C)c1cc(C(F)(F)F)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL4786568,EC50,210.0,C31H29N3O4S,CCN(CC)c1ccc(C(=O)c2sc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)nc2-c2ccccc2)cc1
CHEMBL4759522,EC50,450.0,C28H22N2O5S,COc1ccc(C(=O)c2sc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)nc2-c2ccccc2)cc1
CHEMBL4786072,EC50,370.0,C31H27N3O4S,O=C(c1ccc(N2CCCC2)cc1)c1sc(NC(=O)C2(c3ccc4c(c3)OCO4)CC2)nc1-c1ccccc1
CHEMBL4755069,EC50,2720.0,C22H18N2O4S,CC(=O)c1sc(NC(=O)C2(c3ccc4c(c3)OCO4)CC2)nc1-c1ccccc1
CHEMBL4747670,EC50,1760.0,C28H23N3O5S,COc1ccc(-c2nc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)sc2NC(=O)c2ccccc2)cc1
CHEMBL4103866,EC50,1000.0,C21H15N3O3,O=c1c(-c2ccccc2[N+](=O)[O-])nc2ccccc2n1Cc1ccccc1
CHEMBL4060418,EC50,65.0,C16H13N3O3,CCn1c(=O)c(-c2cccc([N+](=O)[O-])c2)nc2ccccc21
CHEMBL4083281,EC50,20.0,C19H13N3O4,O=c1c(-c2cccc([N+](=O)[O-])c2)nc2ccccc2n1Cc1ccco1
CHEMBL4100901,EC50,240.0,C16H17F6N5O,CCN(CC)c1nc(Nc2ccccc2)nc(OC(C(F)(F)F)C(F)(F)F)n1
CHEMBL4070356,EC50,2800.0,C16H16ClF6N5O,CCN(CC)c1nc(Nc2cccc(Cl)c2)nc(OC(C(F)(F)F)C(F)(F)F)n1
CHEMBL1098166,EC50,3400.0,C26H26BrN5O3S,COc1ccc(NC(=O)c2cc(-c3sc(NC(=O)C(C)(C)C)nc3C)n(-c3ccc(Br)cc3)n2)cc1
CHEMBL1098166,EC50,3388.44,C26H26BrN5O3S,COc1ccc(NC(=O)c2cc(-c3sc(NC(=O)C(C)(C)C)nc3C)n(-c3ccc(Br)cc3)n2)cc1
CHEMBL2010601,EC50,22.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,3.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,236.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,3.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,236.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,1300.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,126.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,11.7,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,49.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,70.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,131.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,68.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL2010601,EC50,34.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL3357126,EC50,97.0,C22H21N3O2,CC(C)(C)c1cc2cc[nH]c2cc1NC(=O)c1c[nH]c2ccccc2c1=O
CHEMBL3357126,EC50,11.0,C22H21N3O2,CC(C)(C)c1cc2cc[nH]c2cc1NC(=O)c1c[nH]c2ccccc2c1=O
CHEMBL3357125,EC50,20.0,C20H17N3O2,CCc1cc2cc[nH]c2cc1NC(=O)c1c[nH]c2ccccc2c1=O
CHEMBL3746321,EC50,2300.0,C26H31N7O2,COc1ccc(CN2CCc3nc(-c4ccccn4)nc(N4CCN(CC(N)=O)CC4)c3C2)cc1
CHEMBL3746321,EC50,10900.0,C26H31N7O2,COc1ccc(CN2CCc3nc(-c4ccccn4)nc(N4CCN(CC(N)=O)CC4)c3C2)cc1
CHEMBL3746321,EC50,2290.87,C26H31N7O2,COc1ccc(CN2CCc3nc(-c4ccccn4)nc(N4CCN(CC(N)=O)CC4)c3C2)cc1
CHEMBL3745956,EC50,100000.0,C26H33N7O2S,CN(C)CCN1CCN(c2nc(-c3ccccn3)nc3c2CN(S(=O)(=O)c2ccccc2)CC3)CC1
CHEMBL4164907,EC50,87.0,C27H20N2O4S,O=C(c1ccccc1)c1sc(NC(=O)C2(c3ccc4c(c3)OCO4)CC2)nc1-c1ccccc1
